City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,62.06,66,75,13.8,AU,1675818178
1,redmond,47.674,-122.1215,49.05,79,56,7.0,US,1675818179
2,port macquarie,-31.4333,152.9167,74.89,66,86,4.7,AU,1675817932
3,lujan,-34.5703,-59.105,85.05,55,0,1.01,AR,1675818011
4,busselton,-33.65,115.3333,72.36,57,0,8.3,AU,1675818179
5,atuona,-9.8,-139.0333,78.93,76,19,15.17,PF,1675818179
6,la libertad,-2.2333,-80.9,79.14,76,6,7.11,EC,1675818180
7,mataura,-46.1927,168.8643,54.48,75,83,10.45,NZ,1675818180
8,matara,5.9485,80.5353,73.78,92,73,6.64,LK,1675818180
9,opunake,-39.4556,173.8583,68.61,65,4,16.82,NZ,1675818181
10,puerto madero,14.7208,-92.4215,77.2,88,0,2.3,MX,1675818181
11,hithadhoo,-0.6,73.0833,81.16,71,11,8.7,MV,1675818182
12,nuuk,64.1835,-51.7216,7.88,78,100,5.01,GL,1675818183
13,svetlyy,54.675,20.1347,33.85,81,100,10.63,RU,1675818184
14,sao joao da barra,-21.6403,-41.0511,75.29,91,100,4.36,BR,1675818185
15,khatanga,71.9667,102.5,-47.54,100,65,2.48,RU,1675818186
16,sistranda,63.7256,8.834,37.36,78,100,11.74,NO,1675818194
17,rikitea,-23.1203,-134.9692,80.01,68,7,11.18,PF,1675818162
18,vaini,-21.2,-175.2,82.56,89,75,6.91,TO,1675818195
19,ferrol,43.4832,-8.2369,44.67,66,96,17.67,ES,1675818196
20,tiksi,71.6872,128.8694,-31.29,99,100,5.32,RU,1675818119
21,faanui,-16.4833,-151.75,81.1,73,29,11.99,PF,1675818209
22,bredasdorp,-34.5322,20.0403,66.07,77,21,8.23,ZA,1675818109
23,norman wells,65.282,-126.8329,-7.56,71,75,2.3,CA,1675818226
24,chokurdakh,70.6333,147.9167,-38.42,100,100,3.87,RU,1675818226
25,marolambo,-20.05,48.1167,65.71,98,27,2.24,MG,1675818227
26,vila velha,-20.3297,-40.2925,80.55,90,75,9.22,BR,1675818124
27,cape town,-33.9258,18.4232,69.91,72,0,15.99,ZA,1675818208
28,iquitos,-3.7481,-73.2472,77.04,83,75,2.3,PE,1675818227
29,kapaa,22.0752,-159.319,79.12,90,100,13.8,US,1675818227
30,port elizabeth,-33.918,25.5701,69.31,91,40,5.99,ZA,1675818232
31,atamanovka,51.93,113.63,-8.7,99,47,2.04,RU,1675818233
32,nikolskoye,59.7035,30.7861,28.8,87,100,10.27,RU,1675818233
33,silver city,32.7701,-108.2803,35.91,86,100,10.36,US,1675817939
